Security,CPMINDX  Index                                                  ,
Start Date,1/31/2005 0:00,
End Date,4/30/2021 0:00,
Period,M,
,,
Date,PX_LAST,FIRST_REVISION
4/30/2021,51.1,#N/A N/A
3/31/2021,51.9,#N/A N/A
2/28/2021,50.6,#N/A N/A
1/31/2021,51.3,#N/A N/A
12/31/2020,51.9,#N/A N/A
11/30/2020,52.1,#N/A N/A
10/31/2020,51.4,#N/A N/A
9/30/2020,51.5,#N/A N/A
8/31/2020,51,#N/A N/A
7/31/2020,51.1,#N/A N/A
6/30/2020,50.9,#N/A N/A
5/31/2020,50.6,#N/A N/A
4/30/2020,50.8,#N/A N/A
3/31/2020,52,#N/A N/A
2/29/2020,35.7,#N/A N/A
1/31/2020,50,#N/A N/A
12/31/2019,50.2,#N/A N/A
11/30/2019,50.2,#N/A N/A
10/31/2019,49.3,#N/A N/A
9/30/2019,49.8,#N/A N/A
8/31/2019,49.5,#N/A N/A
7/31/2019,49.7,#N/A N/A
6/30/2019,49.4,#N/A N/A
5/31/2019,49.4,#N/A N/A
4/30/2019,50.1,#N/A N/A
3/31/2019,50.5,#N/A N/A
2/28/2019,49.2,#N/A N/A
1/31/2019,49.5,#N/A N/A
12/31/2018,49.4,#N/A N/A
11/30/2018,50,#N/A N/A
10/31/2018,50.2,#N/A N/A
9/30/2018,50.8,#N/A N/A
8/31/2018,51.3,#N/A N/A
7/31/2018,51.2,#N/A N/A
6/30/2018,51.5,#N/A N/A
5/31/2018,51.9,#N/A N/A
4/30/2018,51.4,#N/A N/A
3/31/2018,51.5,#N/A N/A
2/28/2018,50.3,#N/A N/A
1/31/2018,51.3,#N/A N/A
12/31/2017,51.6,#N/A N/A
11/30/2017,51.8,#N/A N/A
10/31/2017,51.6,#N/A N/A
9/30/2017,52.4,#N/A N/A
8/31/2017,51.7,#N/A N/A
7/31/2017,51.4,#N/A N/A
6/30/2017,51.7,#N/A N/A
5/31/2017,51.2,#N/A N/A
4/30/2017,51.2,#N/A N/A
3/31/2017,51.8,#N/A N/A
2/28/2017,51.6,#N/A N/A
1/31/2017,51.3,#N/A N/A
12/31/2016,51.4,#N/A N/A
11/30/2016,51.7,#N/A N/A
10/31/2016,51.2,#N/A N/A
9/30/2016,50.4,#N/A N/A
8/31/2016,50.4,#N/A N/A
7/31/2016,49.9,#N/A N/A
6/30/2016,50,#N/A N/A
5/31/2016,50.1,#N/A N/A
4/30/2016,50.1,#N/A N/A
3/31/2016,50.2,#N/A N/A
2/29/2016,49,#N/A N/A
1/31/2016,49.4,#N/A N/A
12/31/2015,49.7,#N/A N/A
11/30/2015,49.6,#N/A N/A
10/31/2015,49.8,#N/A N/A
9/30/2015,49.8,#N/A N/A
8/31/2015,49.7,#N/A N/A
7/31/2015,50,#N/A N/A
6/30/2015,50.2,#N/A N/A
5/31/2015,50.2,#N/A N/A
4/30/2015,50.1,#N/A N/A
3/31/2015,50.1,#N/A N/A
2/28/2015,49.9,#N/A N/A
1/31/2015,49.8,#N/A N/A
12/31/2014,50.1,#N/A N/A
11/30/2014,50.3,#N/A N/A
10/31/2014,50.8,#N/A N/A
9/30/2014,51.1,#N/A N/A
8/31/2014,51.1,#N/A N/A
7/31/2014,51.7,#N/A N/A
6/30/2014,51,#N/A N/A
5/31/2014,50.8,#N/A N/A
4/30/2014,50.4,#N/A N/A
3/31/2014,50.3,#N/A N/A
2/28/2014,50.2,#N/A N/A
1/31/2014,50.5,#N/A N/A
12/31/2013,51,#N/A N/A
11/30/2013,51.4,#N/A N/A
10/31/2013,51.4,#N/A N/A
9/30/2013,51.1,#N/A N/A
8/31/2013,51,#N/A N/A
7/31/2013,50.3,#N/A N/A
6/30/2013,50.1,#N/A N/A
5/31/2013,50.8,#N/A N/A
4/30/2013,50.6,#N/A N/A
3/31/2013,50.9,#N/A N/A
2/28/2013,50.1,#N/A N/A
1/31/2013,50.4,#N/A N/A
12/31/2012,50.6,#N/A N/A
11/30/2012,50.6,#N/A N/A
10/31/2012,50.2,#N/A N/A
9/30/2012,49.8,#N/A N/A
8/31/2012,49.2,#N/A N/A
7/31/2012,50.1,#N/A N/A
6/30/2012,50.2,#N/A N/A
5/31/2012,50.4,#N/A N/A
4/30/2012,53.3,#N/A N/A
3/31/2012,53.1,#N/A N/A
2/29/2012,51,#N/A N/A
1/31/2012,50.5,#N/A N/A
12/31/2011,50.3,#N/A N/A
11/30/2011,49,#N/A N/A
10/31/2011,50.4,#N/A N/A
9/30/2011,51.2,#N/A N/A
8/31/2011,50.9,#N/A N/A
7/31/2011,50.7,#N/A N/A
6/30/2011,50.9,#N/A N/A
5/31/2011,52,#N/A N/A
4/30/2011,52.9,#N/A N/A
3/31/2011,53.4,#N/A N/A
2/28/2011,52.2,#N/A N/A
1/31/2011,52.9,#N/A N/A
12/31/2010,53.9,#N/A N/A
11/30/2010,55.2,#N/A N/A
10/31/2010,54.7,#N/A N/A
9/30/2010,53.8,#N/A N/A
8/31/2010,51.7,#N/A N/A
7/31/2010,51.2,#N/A N/A
6/30/2010,52.1,#N/A N/A
5/31/2010,53.9,#N/A N/A
4/30/2010,55.7,#N/A N/A
3/31/2010,55.1,#N/A N/A
2/28/2010,52,#N/A N/A
1/31/2010,55.8,#N/A N/A
12/31/2009,56.6,#N/A N/A
11/30/2009,55.2,#N/A N/A
10/31/2009,55.2,#N/A N/A
9/30/2009,54.3,#N/A N/A
8/31/2009,54,#N/A N/A
7/31/2009,53.3,#N/A N/A
6/30/2009,53.2,#N/A N/A
5/31/2009,53.1,#N/A N/A
4/30/2009,53.5,#N/A N/A
3/31/2009,52.4,#N/A N/A
2/28/2009,49,#N/A N/A
1/31/2009,45.3,#N/A N/A
12/31/2008,41.2,#N/A N/A
11/30/2008,38.8,#N/A N/A
10/31/2008,44.6,#N/A N/A
9/30/2008,51.2,#N/A N/A
8/31/2008,48.4,#N/A N/A
7/31/2008,48.4,#N/A N/A
6/30/2008,52,#N/A N/A
5/31/2008,53.3,#N/A N/A
4/30/2008,59.2,#N/A N/A
3/31/2008,58.4,#N/A N/A
2/29/2008,53.4,#N/A N/A
1/31/2008,53,#N/A N/A
12/31/2007,55.3,#N/A N/A
11/30/2007,55.4,#N/A N/A
10/31/2007,53.2,#N/A N/A
9/30/2007,56.1,#N/A N/A
8/31/2007,54,#N/A N/A
7/31/2007,53.3,#N/A N/A
6/30/2007,54.5,#N/A N/A
5/31/2007,55.7,#N/A N/A
4/30/2007,58.6,#N/A N/A
3/31/2007,56.1,#N/A N/A
2/28/2007,53.1,#N/A N/A
1/31/2007,55.1,#N/A N/A
12/31/2006,54.8,#N/A N/A
11/30/2006,55.3,#N/A N/A
10/31/2006,54.7,#N/A N/A
9/30/2006,57,#N/A N/A
8/31/2006,53.1,#N/A N/A
7/31/2006,52.4,#N/A N/A
6/30/2006,54.1,#N/A N/A
5/31/2006,54.8,#N/A N/A
4/30/2006,58.1,#N/A N/A
3/31/2006,55.3,#N/A N/A
2/28/2006,52.1,#N/A N/A
1/31/2006,52.1,#N/A N/A
12/31/2005,54.3,#N/A N/A
11/30/2005,54.1,#N/A N/A
10/31/2005,54.1,#N/A N/A
9/30/2005,55.1,#N/A N/A
8/31/2005,52.6,#N/A N/A
7/31/2005,51.1,#N/A N/A
6/30/2005,51.7,#N/A N/A
5/31/2005,52.9,#N/A N/A
4/30/2005,56.7,#N/A N/A
3/31/2005,57.9,#N/A N/A
2/28/2005,54.5,#N/A N/A
1/31/2005,54.7,#N/A N/A
