Security,CONCCONF Index                                                  ,
Start Date,5/31/1990 0:00,
End Date,4/30/2021 0:00,
Period,M,
,,
Date,PX_LAST,FIRST_REVISION
4/30/2021,121.7,#N/A N/A
3/31/2021,109,109
2/28/2021,90.4,90.4
1/31/2021,88.9,88.9
12/31/2020,87.1,87.1
11/30/2020,92.9,92.9
10/31/2020,101.4,101.4
9/30/2020,101.3,101.3
8/31/2020,86.3,86.3
7/31/2020,91.7,91.7
6/30/2020,98.3,98.3
5/31/2020,85.9,85.9
4/30/2020,85.7,85.7
3/31/2020,118.8,118.8
2/29/2020,132.6,132.6
1/31/2020,130.4,130.4
12/31/2019,128.2,128.2
11/30/2019,126.8,126.8
10/31/2019,126.1,126.1
9/30/2019,126.3,126.3
8/31/2019,134.2,134.2
7/31/2019,135.8,135.8
6/30/2019,124.3,124.3
5/31/2019,131.3,131.3
4/30/2019,129.2,#N/A N/A
3/31/2019,124.2,124.2
2/28/2019,131.4,#N/A N/A
1/31/2019,121.7,121.7
12/31/2018,126.6,126.6
11/30/2018,136.4,136.4
10/31/2018,137.9,#N/A N/A
9/30/2018,135.3,135.3
8/31/2018,134.7,134.7
7/31/2018,127.9,127.9
6/30/2018,127.1,127.1
5/31/2018,128.8,128.8
4/30/2018,125.6,125.6
3/31/2018,127,127
2/28/2018,130,130
1/31/2018,124.3,124.3
12/31/2017,123.1,123.1
11/30/2017,128.6,128.6
10/31/2017,126.2,126.2
9/30/2017,120.6,120.6
8/31/2017,120.4,120.4
7/31/2017,120,120
6/30/2017,117.3,117.3
5/31/2017,117.6,117.6
4/30/2017,119.4,119.4
3/31/2017,124.9,124.9
2/28/2017,116.1,116.1
1/31/2017,111.6,111.6
12/31/2016,113.3,113.3
11/30/2016,109.4,109.4
10/31/2016,100.8,100.8
9/30/2016,103.5,#N/A N/A
8/31/2016,101.8,#N/A N/A
7/31/2016,96.7,#N/A N/A
6/30/2016,97.4,#N/A N/A
5/31/2016,92.4,#N/A N/A
4/30/2016,94.7,94.7
3/31/2016,96.1,96.1
2/29/2016,94,94
1/31/2016,97.8,97.8
12/31/2015,96.3,96.3
11/30/2015,92.6,#N/A N/A
10/31/2015,99.1,#N/A N/A
9/30/2015,102.6,#N/A N/A
8/31/2015,101.3,#N/A N/A
7/31/2015,91,#N/A N/A
6/30/2015,99.8,#N/A N/A
5/31/2015,94.57,#N/A N/A
4/30/2015,94.32,#N/A N/A
3/31/2015,101.44,#N/A N/A
2/28/2015,98.82,#N/A N/A
1/31/2015,103.8,103.8
12/31/2014,93.06,93.1
11/30/2014,91.03,91
10/31/2014,94.05,94.1
9/30/2014,89.04,89
8/31/2014,93.42,93.4
7/31/2014,90.33,90.3
6/30/2014,86.37,86.4
5/31/2014,82.21,82.2
4/30/2014,81.71,81.7
3/31/2014,83.86,83.9
2/28/2014,78.3,78.3
1/31/2014,79.41,79.4
12/31/2013,77.54,77.5
11/30/2013,72.03,72
10/31/2013,72.38,72.4
9/30/2013,80.2,80.2
8/31/2013,81.76,81.8
7/31/2013,81.01,81
6/30/2013,82.13,82.1
5/31/2013,74.26,74.3
4/30/2013,68.95,69
3/31/2013,61.9,61.9
2/28/2013,68.04,68
1/31/2013,58.43,58.4
12/31/2012,66.69,66.7
11/30/2012,71.54,71.5
10/31/2012,73.08,73.1
9/30/2012,68.35,68.4
8/31/2012,61.28,61.3
7/31/2012,65.37,65.4
6/30/2012,62.69,62.7
5/31/2012,64.37,64.4
4/30/2012,68.7,68.7
3/31/2012,69.45,69.5
2/29/2012,71.62,71.6
1/31/2012,61.1,61.5
12/31/2011,64.8,64.8
11/30/2011,55.17,55.2
10/31/2011,40.87,40.9
9/30/2011,46.37,46.4
8/31/2011,45.18,45.2
7/31/2011,59.23,59.2
6/30/2011,57.62,57.6
5/31/2011,61.74,61.7
4/30/2011,66.02,66
3/31/2011,63.82,63.8
2/28/2011,72.02,72
1/31/2011,64.79,64.8
12/31/2010,63.4,53.3
11/30/2010,57.82,54.3
10/31/2010,49.92,49.9
9/30/2010,48.61,48.6
8/31/2010,53.18,53.2
7/31/2010,51.03,51
6/30/2010,54.31,54.3
5/31/2010,62.66,62.7
4/30/2010,57.74,57.7
3/31/2010,52.29,52.3
2/28/2010,46.42,46.4
1/31/2010,56.45,56.5
12/31/2009,53.62,53.6
11/30/2009,50.64,50.6
10/31/2009,48.67,48.7
9/30/2009,53.43,53.4
8/31/2009,54.48,54.5
7/31/2009,47.37,47.4
6/30/2009,49.32,#N/A N/A
5/31/2009,54.81,54.8
4/30/2009,40.81,40.8
3/31/2009,26.9,26.9
2/28/2009,25.3,25.3
1/31/2009,37.38,37.4
12/31/2008,38.62,38.6
11/30/2008,44.65,44.7
10/31/2008,38.83,38.8
9/30/2008,61.37,61.4
8/31/2008,58.48,58.5
7/31/2008,51.94,#N/A N/A
6/30/2008,50.97,51
5/31/2008,58.07,58.1
4/30/2008,62.76,62.8
3/31/2008,65.86,65.9
2/29/2008,76.39,76.4
1/31/2008,87.32,87.3
12/31/2007,90.62,90.6
11/30/2007,87.78,87.8
10/31/2007,95.24,95.2
9/30/2007,99.46,99.5
8/31/2007,105.55,105.6
7/31/2007,111.94,111.9
6/30/2007,105.27,105.3
5/31/2007,108.52,108.5
4/30/2007,106.28,106.3
3/31/2007,108.16,108.2
2/28/2007,111.15,111.2
1/31/2007,110.21,110.2
12/31/2006,110,110
11/30/2006,105.3,105.3
10/31/2006,105.14,105.1
9/30/2006,105.88,105.9
8/31/2006,100.2,100.2
7/31/2006,107.01,107
6/30/2006,105.37,105.4
5/31/2006,104.69,104.7
4/30/2006,109.81,109.8
3/31/2006,107.51,107.5
2/28/2006,102.66,102.7
1/31/2006,106.78,106.8
12/31/2005,103.82,103.8
11/30/2005,98.32,98.3
10/31/2005,85.16,85.2
9/30/2005,87.5,87.5
8/31/2005,105.49,105.5
7/31/2005,103.63,103.6
6/30/2005,106.2,106.2
5/31/2005,103.13,103.1
4/30/2005,97.54,97.5
3/31/2005,103.03,103
2/28/2005,104.39,104.4
1/31/2005,105.08,105.1
12/31/2004,102.68,102.7
11/30/2004,92.6,92.6
10/31/2004,92.89,92.9
9/30/2004,96.74,96.7
8/31/2004,98.69,98.7
7/31/2004,105.73,105.7
6/30/2004,102.81,102.8
5/31/2004,93.05,93.1
4/30/2004,93.03,93
3/31/2004,88.51,88.5
2/29/2004,88.48,88.5
1/31/2004,97.67,96.4
12/31/2003,94.81,91.7
11/30/2003,92.45,92.5
10/31/2003,81.73,81.7
9/30/2003,76.97,77
8/31/2003,81.72,81.7
7/31/2003,76.99,77
6/30/2003,83.52,#N/A N/A
5/31/2003,83.64,83.6
4/30/2003,81,#N/A N/A
3/31/2003,61.42,#N/A N/A
2/28/2003,64.8,64.8
1/31/2003,78.75,78.8
12/31/2002,80.75,80.7
11/30/2002,84.9,84.9
10/31/2002,79.56,79.6
9/30/2002,93.73,93.7
8/31/2002,94.54,94.5
7/31/2002,97.42,97.4
6/30/2002,106.27,106.3
5/31/2002,110.29,110.3
4/30/2002,108.5,108.5
3/31/2002,110.7,110.7
2/28/2002,94.98,95
1/31/2002,97.81,97.8
12/31/2001,94.57,94.6
11/30/2001,84.89,84.9
10/31/2001,85.27,85.3
9/30/2001,97,97
8/31/2001,114.03,114
7/31/2001,116.3,116.3
6/30/2001,118.86,118.9
5/31/2001,116.1,116.1
4/30/2001,109.86,109.9
3/31/2001,116.87,116.9
2/28/2001,109.25,109.2
1/31/2001,115.73,115.7
12/31/2000,128.55,128.6
11/30/2000,132.6,132.6
10/31/2000,135.77,135.8
9/30/2000,142.52,#N/A N/A
8/31/2000,140.85,140.8
7/31/2000,142.98,143
6/30/2000,139.2,139.2
5/31/2000,144.69,144.7
4/30/2000,137.7,137.7
3/31/2000,137.06,137.1
2/29/2000,140.81,140.8
1/31/2000,144.71,#N/A N/A
12/31/1999,141.69,141.7
11/30/1999,136.96,137
10/31/1999,130.45,130.5
9/30/1999,134.21,#N/A N/A
8/31/1999,136.05,136
7/31/1999,136.22,136.2
6/30/1999,138.97,139
5/31/1999,137.67,137.7
4/30/1999,135.52,135.5
3/31/1999,133.95,134
2/28/1999,133.12,133.1
1/31/1999,128.93,128.9
12/31/1998,126.67,126.7
11/30/1998,126.39,126.4
10/31/1998,119.29,119.3
9/30/1998,126.37,126.4
8/31/1998,133.11,#N/A N/A
7/31/1998,137.22,137.2
6/30/1998,138.23,138.2
5/31/1998,136.31,#N/A N/A
4/30/1998,137.2,137.2
3/31/1998,133.8,133.8
2/28/1998,137.38,137.4
1/31/1998,128.3,128.3
12/31/1997,136.21,136.2
11/30/1997,128.09,128.1
10/31/1997,123.39,#N/A N/A
9/30/1997,130.19,130.2
8/31/1997,129.1,#N/A N/A
7/31/1997,126.35,#N/A N/A
6/30/1997,129.88,129.9
5/31/1997,127.89,#N/A N/A
4/30/1997,118.52,118.5
3/31/1997,118.54,118.5
2/28/1997,118.87,118.9
1/31/1997,118.74,#N/A N/A
12/31/1996,114.25,#N/A N/A
11/30/1996,109.47,#N/A N/A
10/31/1996,107.28,#N/A N/A
9/30/1996,111.81,#N/A N/A
8/31/1996,111.99,#N/A N/A
7/31/1996,106.99,#N/A N/A
6/30/1996,100.07,#N/A N/A
5/31/1996,103.54,#N/A N/A
4/30/1996,104.83,#N/A N/A
3/31/1996,98.4,#N/A N/A
2/29/1996,98,#N/A N/A
1/31/1996,88.41,#N/A N/A
12/31/1995,99.17,#N/A N/A
11/30/1995,101.61,#N/A N/A
10/31/1995,96.31,#N/A N/A
9/30/1995,97.28,#N/A N/A
8/31/1995,102.38,#N/A N/A
7/31/1995,101.44,#N/A N/A
6/30/1995,94.6,#N/A N/A
5/31/1995,102,#N/A N/A
4/30/1995,104.64,#N/A N/A
3/31/1995,100.18,#N/A N/A
2/28/1995,99.38,#N/A N/A
1/31/1995,101.42,#N/A N/A
12/31/1994,103.42,#N/A N/A
11/30/1994,100.42,#N/A N/A
10/31/1994,89.13,#N/A N/A
9/30/1994,89.51,#N/A N/A
8/31/1994,90.35,#N/A N/A
7/31/1994,91.3,#N/A N/A
6/30/1994,92.52,#N/A N/A
5/31/1994,88.91,#N/A N/A
4/30/1994,92.07,#N/A N/A
3/31/1994,86.73,#N/A N/A
2/28/1994,79.86,#N/A N/A
1/31/1994,82.59,#N/A N/A
12/31/1993,79.76,#N/A N/A
11/30/1993,71.89,#N/A N/A
10/31/1993,60.52,#N/A N/A
9/30/1993,63.75,#N/A N/A
8/31/1993,59.34,#N/A N/A
7/31/1993,59.2,#N/A N/A
6/30/1993,58.59,#N/A N/A
5/31/1993,61.87,#N/A N/A
4/30/1993,67.55,#N/A N/A
3/31/1993,63.24,#N/A N/A
2/28/1993,68.49,#N/A N/A
1/31/1993,76.71,#N/A N/A
12/31/1992,78.05,#N/A N/A
11/30/1992,65.6,#N/A N/A
10/31/1992,54.63,#N/A N/A
9/30/1992,57.34,#N/A N/A
8/31/1992,59.02,#N/A N/A
7/31/1992,61.17,#N/A N/A
6/30/1992,72.62,#N/A N/A
5/31/1992,71.9,#N/A N/A
4/30/1992,65.06,#N/A N/A
3/31/1992,56.5,#N/A N/A
2/29/1992,47.32,#N/A N/A
1/31/1992,50.24,#N/A N/A
12/31/1991,52.55,#N/A N/A
11/30/1991,52.69,#N/A N/A
10/31/1991,60.12,#N/A N/A
9/30/1991,72.92,#N/A N/A
8/31/1991,76.09,#N/A N/A
7/31/1991,77.72,#N/A N/A
6/30/1991,78,#N/A N/A
5/31/1991,76.43,#N/A N/A
4/30/1991,79.37,#N/A N/A
3/31/1991,81.07,#N/A N/A
2/28/1991,59.39,#N/A N/A
1/31/1991,55.08,#N/A N/A
12/31/1990,61.18,#N/A N/A
11/30/1990,61.75,#N/A N/A
10/31/1990,62.61,#N/A N/A
9/30/1990,85.62,#N/A N/A
8/31/1990,84.7,#N/A N/A
7/31/1990,101.72,#N/A N/A
6/30/1990,102.39,#N/A N/A
5/31/1990,107.28,#N/A N/A
